"INSTALL_OTYPE","INSTALL_ORDER","EXT","EXT2","EXT3","NAME_CHECK_OTYPE","NOTES","OBJECT_TYPE"
"CONTEXT",710,"ctx",,,"CONTEXT","SYSTEM Only (Don't match OBJECT_TYPE)","CONTEXT"
"DATABASE_TRIGGER",-110,"dbtrg",,,,"System Triggers ""ON DATABASE""","TRIGGER"
"DATA_LOAD",320,"cdl","ctl","csv","TABLE","DATA_LOAD references are not allowed in OBJECT_CONF.  Also disables Foreign Keys and Triggers",
"DB_LINK",30,"dblnk",,,"DATABASE LINK",,"DATABASE LINK"
"DIRECTORY",-20,"dir","sh","bat","DIRECTORY","SYSTEM Only (Don't match OBJECT_TYPE)","DIRECTORY"
"FUNCTION",130,"func",,,"FUNCTION",,"FUNCTION"
"GRANT",-10,"grnt",,,,"SYSTEM Only, FUTURE Grants. CURRENT Grants are included with user and object creation",
"JAVA_SOURCE",120,"pjava",,,"JAVA SOURCE",,"JAVA SOURCE"
"MVIEW",370,"mvw",,,"MATERIALIZED VIEW",,"MATERIALIZED VIEW"
"MVIEW_FOREIGN_KEY",530,"mvwfk",,,"MATERIALIZED VIEW",,
"MVIEW_INDEX",350,"mvwind",,,,,"INDEX"
"MVIEW_TRIGGER",560,"mvwtrg",,,"MATERIALIZED VIEW",,"TRIGGER"
"PACKAGE_BODY",420,"pbody",,,"PACKAGE",,"PACKAGE BODY"
"PACKAGE_SPEC",150,"pspec",,,"PACKAGE",,"PACKAGE"
"PROCEDURE",140,"proc",,,"PROCEDURE",,"PROCEDURE"
"QUEUE",220,"aq",,,"QUEUE",,"QUEUE"
"QUEUE_TABLE",210,"aqt",,,"TABLE",,
"ROLE",-140,"rol",,,,"SYS Only, Includes SYS Grants",
"SCHEDULER_JOB",630,"schdj",,,"JOB",,"JOB"
"SCHEDULER_PROGRAM",620,"schdp",,,"PROGRAM",,"PROGRAM"
"SCHEDULER_SCHEDULE",610,"schds",,,"SCHEDULE",,"SCHEDULE"
"SCHEMA_TRIGGER",570,"schtrg",,,,"System Triggers ""ON SCHEMA""","TRIGGER"
"SEQUENCE",40,"seq",,,"SEQUENCE",,"SEQUENCE"
"SYNONYM",10,"syn",,,,"FUTURE Synonyms. CURRENT Synonyms are included wth object creation","SYNONYM"
"TABLE",310,"tab",,,"TABLE",,"TABLE"
"TABLE_FOREIGN_KEY",510,"tabfk",,,"TABLE",,
"TABLE_INDEX",330,"tabind",,,,"FUTURE Indexes. CURRENT Indexes are included with object creation","INDEX"
"TABLE_TRIGGER",540,"tabtrg",,,"TABLE",,"TRIGGER"
"TYPE_BODY",410,"tbody",,,"TYPE",,"TYPE BODY"
"TYPE_SPEC",110,"tspec",,,"TYPE",,"TYPE"
"USER",-130,"usr",,,,"SYS Only, Includes SYS Grants",
"VIEW",360,"vw",,,"VIEW",,"VIEW"
"VIEW_FOREIGN_KEY",520,"vwfk",,,"VIEW",,
"VIEW_TRIGGER",550,"vwtrg",,,"VIEW",,"TRIGGER"
"XDB_ACL",-120,"acl",,,,"SYS Only",
