"ROLENAME","BUILD_TYPE","ORACLE_PROVIDED","NOTES"
"ACCHK_READ","sys","Y","Allows users with no administrative privileges to query the DBA_ACCHK_STATISTICS view"
"ADM_PARALLEL_EXECUTE_TASK","sys","Y","Perform administrative routines (qualified by the prefix ADM_ in DBMS_PARALLEL_EXECUTE) and access the DBA_PARALLEL_EXECUTE_CHUNKS and DBA_PARALLEL_EXECUTE_TASKS views"
"APEX_ADMINISTRATOR_ROLE","sys","Y","(grbapex) APEX/REST/ORDS Role"
"APEX_GRANTS_FOR_NEW_USERS_ROLE","sys","Y","(grbapex) APEX/REST/ORDS Role"
"APPLICATION_TRACE_VIEWER","sys","Y",
"AQ_ADMINISTRATOR_ROLE","sys","Y","(grbaqadm) Privilege to administer Advanced Queuing."
"AQ_USER_ROLE","sys","Y","(grbaqadm) De-supported but maintained for backward compatibility to version 8.0."
"AUDIT_ADMIN","sys","Y","(grbaudit) Provides privileges to create unified and fine-grained audit policies, use the AUDIT and NOAUDIT SQL statements, view audit data, and manage the audit trail administration."
"AUDIT_VIEWER","sys","Y","(grbaudit) Provides privileges to view and analyze audit data."
"AUTHENTICATEDUSER","sys","Y","(grbxrep) Used by the XDB protocols to define any user who has logged in to the system."
"AVTUNE_PKG_ROLE","sys","Y","Utility functions for Analytic View auto cache auto tune."
"BDSQL_ADMIN","sys","Y","(grbbdata) Big Data SQL Admin Role."
"BDSQL_USER","sys","Y","(grbbdata) Big Data SQL User Role."
"CAPTURE_ADMIN","sys","Y","Provides the privileges necessary to create and manage privilege analysis policies."
"CDB_DBA","sys","Y","Provides the privileges required for administering a CDB, such as SET CONTAINER, SELECT ON PDB_PLUG_IN_VIOLATIONS, and SELECT ON CDB_LOCAL_ADMIN_PRIVS. If your site requires additional privileges, then you can create a role (either common or local) to cover these privileges, and then grant this role to the CDB_DBA role."
"CONNECT","sys","Y","Contains the CREATE SESSION and SET CONTAINER system privileges."
"CSW_USR_ROLE","sys","Y","(grbsdo) Provides user privileges to manage the Catalog Services for the Web (CSW) component of Oracle Spatial."
"CTXAPP","sys","Y","(grbctx) Enables developers create Oracle Text indexes and index preferences, and to use PL/SQL packages."
"DATAPATCH_ROLE","sys","Y","Access to DBMS_QOPATCH package which will give details of Oracle Patches applied on the database."
"DATAPUMP_EXP_FULL_DATABASE","sys","Y","Granted EXP_FULL_DATABASE role."
"DATAPUMP_IMP_FULL_DATABASE","sys","Y","Granted EXP_FULL_DATABASE and IMP_FULL_DATABASE roles."
"DBA","sys","Y","Example Database Administrator role."
"DBFS_ROLE","sys","Y","Provides access to the DBFS (the Database Filesystem) packages and objects."
"DBJAVASCRIPT","sys","Y","(grbjava) Needed for running JavaScript code, using the Nashorn engine of 12.2 Oracle JVM in your sessions. This role includes the permissions that are required to run Nashorn in the database."
"DBMS_MDX_INTERNAL","sys","Y",
"DELETE_CATALOG_ROLE","sys","Y","Grant this role to allow users to delete records from the system audit tables SYS.AUD$ and SYS.FGA_LOG$."
"DV_ACCTMGR","sys","Y","(grbsec) Use the DV_ACCTMGR role to create and maintain database accounts and database profiles. In this manual, the example DV_ACCTMGR role is assigned to a user named amalcolm_dvacctmgr."
"DV_ADMIN","sys","Y","(grbsec) The DV_ADMIN role controls the Oracle Database Vault PL/SQL packages."
"DV_AUDIT_CLEANUP","sys","Y","(grbsec) Grant to any user who is responsible for purging the Database Vault auit trail in a non-unified auditing environment."
"DV_DATAPUMP_NETWORK_LINK","sys","Y","(grbsec) Needed by any user who is responsible for conducting the NETWORK_LINK transportable Data Pump import operation in an Oracle Database Vault environment. Enables the management of the Oracle Data Pump NETWORK_LINK transportable import processes to be tightly controlled by Database Vault, but does not change or restrict the way you would normally conduct Oracle Data Pump operations."
"DV_GOLDENGATE_ADMIN","sys","Y","Intended for any user with responsibility for GoldenGate configuration by default it contains no privileges."
"DV_GOLDENGATE_REDO_ACCESS","sys","Y","(grbsec) For any user who is responsible for using the Oracle GoldenGate TRANLOGOPTIONS DBLOGREADER method to access redo logs in an Oracle Database Vault environment."
"DV_MONITOR","sys","Y","(grbsec) Enables the Oracle Enterprise Manager Grid Control agent to monitor Oracle Database Vault for attempted violations and configuration issues with realm or command rule definitions. This enables Grid Control to read and propagate realm definitions and command rule definitions between databases."
"DV_OWNER","sys","Y","(grbsec) The DV_OWNER role has the administrative capabilities that the DV_ADMIN role provides, and the reporting capabilities the DV_SECANALYST role provides."
"DV_PATCH_ADMIN","sys","Y","(grbsec) Temporarily grant the DV_PATCH_ADMIN role to any database administrator who is responsible for performing database patching or adding languages to Database Vault. After the patch operation or language addition is complete, you should immediately revoke this role. The role does not provide access to any secured data."
"DV_POLICY_OWNER","sys","Y","(grbsec) Enables database users to manage to a limited degree Oracle Database Vault policies."
"DV_PUBLIC","sys","Y","(grbsec) Oracle Database Vault does not enable you to directly grant object privileges in the DVSYS schema to PUBLIC. You must grant the object privilege on the DVSYS schema object the DV_PUBLIC role, and then grant DV_PUBLIC to PUBLIC."
"DV_REALM_OWNER","sys","Y","(grbsec) Use the DV_REALM_OWNER role to manage database objects in multiple schemas that define a realm. Grant this role to the database account owner who is responsible for managing one or more schema database accounts within a realm and the roles associated with the realm."
"DV_REALM_RESOURCE","sys","Y","(grbsec) Use the DV_REALM_RESOURCE role for operations such as creating tables, views, triggers, synonyms, and other objects that a realm would typically use."
"DV_SECANALYST","sys","Y","(grbsec) DV_SECANALYST can query DVSYS schema objects through Oracle Database Vault-supplied views only."
"DV_STREAMS_ADMIN","sys","Y","(grbsec) Grant to a user who is responsible for configuring Streams replication in an Oracle Database Vault environment."
"DV_XSTREAM_ADMIN","sys","Y","(grbsec) Grant to a user who is responsible for configuring XStreams replication in an Oracle Database Vault environment."
"EJBCLIENT","sys","Y","(grbjava) Provides privileges to connect to EJBs from a Java stored procedure."
"EM_EXPRESS_ALL","sys","Y","(grbemdc) Enables users to connect to Oracle Enterprise Manager (EM) Express and use all the functionality provided by EM Express (read and write access to all EM Express features). The EM_EXPRESS_ALL role includes the EM_EXPRESS_BASIC role."
"EM_EXPRESS_BASIC","sys","Y","(grbemdc) Enables users to connect to EM Express and to view the pages in read-only mode. The EM_EXPRESS_BASIC role includes the SELECT_CATALOG_ROLE role."
"EXECUTE_CATALOG_ROLE","sys","Y","Allow users EXECUTE privileges for packages and procedures in the data dictionary. Granted HS_ADMIN_EXECUTE_ROLE role."
"EXP_FULL_DATABASE","sys","Y","Provides the privileges required to perform full and incremental database export. Granted EXECUTE_CATALOG_ROLE and SELECT_CATALOG_ROLE roles."
"GATHER_SYSTEM_STATISTICS","sys","Y","To update the dictionary system statistics a user must have DBA privileges or the GATHER_SYSTEM_STATISTICS role."
"GDS_CATALOG_SELECT","sys","Y","(grbrac) Provides access to 10 objects owned by GSMADMIN_INTERNAL."
"GGSYS_ROLE","sys","Y","(grbggadm) Golden Gate Administrator Privileges."
"GLOBAL_AQ_USER_ROLE","sys","Y","(grbaqadm) Required to register through LDAP using JDBC connection parameters as this requires the ability to write access to the connection factory entries in the LDAP server (which requires the LDAP user to be either the database itself or be granted GLOBAL_AQ_USER_ROLE)."
"GSMADMIN_ROLE","sys","Y","(grbrac) Granted AQ_ADMINISTRATOR_ROLE and CONNECT roles: Inlcudes EXECUTE on DBMS_GSM_UTILITY and related resources."
"GSMROOTUSER_ROLE","sys","Y","(grbrac) GSMROOTUSER is a database account specific to Oracle Sharding that is only used when pluggable database (PDB) shards are present. The account is used by GDSCTL and global service managers to connect to the root container of container databases (CDBs) to perform administrative tasks."
"GSMUSER_ROLE","sys","Y","(grbrac) Granted CONNECT role: Includes EXECUTE on DBMS_GSM_DBADMIN."
"GSM_POOLADMIN_ROLE","sys","Y","(grbrac) Granted CONNECT role: Inlcudes EXECUTE on DBMS_GSM_POOLADMIN."
"HS_ADMIN_EXECUTE_ROLE","sys","Y","Provides the EXECUTE privilege for users who want to use the Heterogeneous Services (HS) PL/SQL packages."
"HS_ADMIN_ROLE","sys","Y","Provides privileges for DBAs who need to use the DBA role using Oracle Database Heterogeneous Services to access appropriate tables in the data dictionary. Used to protect access to the Heterogeneous Services (HS) data dictionary tables (grants SELECT) and packages (grants EXECUTE). It is granted to SELECT_CATALOG_ROLE and EXECUTE_CATALOG_ROLE such that users with generic data dictionary access also can access the HS data dictionary."
"HS_ADMIN_SELECT_ROLE","sys","Y","Provides privileges to query the Heterogeneous Services data dictionary views."
"IMP_FULL_DATABASE","sys","Y","Provides the privileges required to perform full database imports. Includes an extensive list of system privileges (use view DBA_SYS_PRIVS to view privileges) and the following roles: EXECUTE_CATALOG_ROLE and SELECT_CATALOG_ROLE. This role is provided for convenience in using the export and import utilities."
"JAVADEBUGPRIV","sys","Y","(grbjava) Grants permissions to run the Java debugger."
"JAVAIDPRIV","sys","Y","(grbjava) Deprecated"
"JAVASYSPRIV","sys","Y","(grbjava) Grants permissions for Java administrators including updating JVM-protected packages. Granted the JAVAUSERPRIV role."
"JAVAUSERPRIV","sys","Y","(grbjava) Grants permissions for Java users such as examining properties."
"JAVA_ADMIN","sys","Y","(grbjava) Java administration privileges including permission to modify PolicyTable."
"JAVA_DEPLOY","sys","Y","(grbjava) "
"JMXSERVER","sys","Y","(grbjava) Provides permissions to start and maintain a JMX agent in a session. The procedure dbms_java.start_jmx_agent starts the agent in a specific session that generally remains active for the duration of the session."
"LBAC_DBA","sys","Y","Provides permissions to use the SA_SYSDBA PL/SQL package."
