"USERNAME","INSTALL_OTYPE","INSTALL_TYPE","ONAME_FILTER","NOTES"
"WTP","PACKAGE_BODY","wtpjun","JUNIT_CORE_REPORT","JUnit Reporting without Persist"
"WTP","PACKAGE_BODY","wtpsav","(WT_DBOUT|WT_JOB|WT_PERSIST_REPORT|WT_PROFILE|WT_RESULT|WT_TEST_RUN|WT_TEST_RUNNER|WT_TESTCASE)","Persist Packages"
"WTP","PACKAGE_SPEC","wtpjun","JUNIT_CORE_REPORT","JUnit Reporting without Persist"
"WTP","PACKAGE_SPEC","wtpsav","(WT_DBOUT|WT_JOB|WT_PERSIST_REPORT|WT_PROFILE|WT_RESULT|WT_TEST_RUN|WT_TEST_RUNNER|WT_TESTCASE)","Persist Packages"
"WTP","PROCEDURE","wtpsav","JUNIT_XML_PERSIST_ALL","JUnit Reporting from Persist"
"WTP","SEQUENCE","wtpsav","(PLSQL_PROFILER_RUNNUMBER|WT_DBOUTS_SEQ|WT_TEST_RUNNERS_SEQ|WT_TEST_RUNS_SEQ|WT_TESTCASES_SEQ)","Persist Sequences"
"WTP","TABLE","wtpsav","(PLSQL_PROFILER_DATA|PLSQL_PROFILER_RUNS|PLSQL_PROFILER_UNITS|WT_DBOUT_RUNS|WT_DBOUTS|WT_PROFILES|WT_RESULTS|WT_TEST_RUNNERS|WT_TEST_RUNS|WT_TESTCASE_RUNS|WT_TESTCASES)","Persist Tables"
"WTP","TABLE","wtptst","WT_SELF_TEST","Test Table"
"WTP","TABLE_TRIGGER","wtptst",".*","Test Trigger"
"WTP","VIEW","wtpsav","(WT_DBOUT_RUNS_VW|WT_PROFILES_VW|WT_RESULTS_VW|WT_SCHEDULER_JOBS_VW|WT_TEST_RUNS_VW|WT_TESTCASE_RUNS_VW)","Persist Views"
